# zeta, mu=22, NB=56, ctx.dps=22 ; rayon max des entrees certifiees = 1.140e-10 ; rayon max des quotients = 8.618e-10
# borne = mid + rad du quotient de Rayleigh certifie (Arb) ; temoins : witnesses_zeta_mu22.json (dyadiques exacts)
[] : -1.064396  (rayon 2.26e-11)
[2] : -1.069761  (rayon 8.95e-11)
[3] : -1.069158  (rayon 3.75e-11)
[5] : -1.063985  (rayon 2.99e-11)
[7] : -1.131285  (rayon 1.83e-11)
[11] : -1.315130  (rayon 2.53e-11)
[13] : -1.318615  (rayon 2.81e-11)
[17] : -1.211810  (rayon 3.15e-11)
[19] : -1.133255  (rayon 2.45e-11)
[2, 3] : -0.937639  (rayon 1.37e-10)
[2, 5] : -1.113686  (rayon 7.46e-11)
[2, 7] : -1.301570  (rayon 8.11e-11)
[2, 11] : -0.978669  (rayon 3.46e-11)
[2, 13] : -1.114907  (rayon 6.47e-11)
[2, 17] : -1.285533  (rayon 1.09e-10)
[2, 19] : -1.175180  (rayon 9.94e-11)
[3, 5] : -1.078071  (rayon 8.92e-11)
[3, 7] : -1.287565  (rayon 3.74e-11)
[3, 11] : -1.294048  (rayon 4.12e-11)
[3, 13] : -1.167966  (rayon 3.67e-11)
[3, 17] : -1.059936  (rayon 4.31e-11)
[3, 19] : -1.085506  (rayon 5.35e-11)
[5, 7] : -1.312314  (rayon 3.79e-11)
[5, 11] : -0.932912  (rayon 1.90e-11)
[5, 13] : -1.078227  (rayon 3.69e-11)
[5, 17] : -1.180535  (rayon 4.31e-11)
[5, 19] : -1.135263  (rayon 4.39e-11)
[7, 11] : -1.315501  (rayon 2.28e-11)
[7, 13] : -1.236116  (rayon 2.44e-11)
[7, 17] : -1.134138  (rayon 1.81e-11)
[7, 19] : -1.130844  (rayon 1.86e-11)
[11, 13] : -1.616589  (rayon 3.01e-11)
[11, 17] : -1.439103  (rayon 2.92e-11)
[11, 19] : -1.366007  (rayon 2.78e-11)
[13, 17] : -1.496041  (rayon 3.48e-11)
[13, 19] : -1.399975  (rayon 3.39e-11)
[17, 19] : -1.363272  (rayon 5.42e-11)
[2, 3, 5] : -0.859783  (rayon 1.16e-10)
[2, 3, 7] : -1.096014  (rayon 8.72e-11)
[2, 3, 11] : -0.966929  (rayon 1.03e-10)
[2, 3, 13] : -1.043577  (rayon 1.69e-10)
[2, 3, 17] : -1.108753  (rayon 1.68e-10)
[2, 3, 19] : -1.034109  (rayon 1.77e-10)
[2, 5, 7] : -1.025736  (rayon 9.93e-11)
[2, 5, 11] : -1.208237  (rayon 4.06e-11)
[2, 5, 13] : -0.953428  (rayon 8.78e-11)
[2, 5, 17] : -1.240533  (rayon 1.03e-10)
[2, 5, 19] : -1.227596  (rayon 1.10e-10)
[2, 7, 11] : -1.031742  (rayon 5.81e-11)
[2, 7, 13] : -1.378846  (rayon 8.12e-11)
[2, 7, 17] : -1.431356  (rayon 1.04e-10)
[2, 7, 19] : -1.332296  (rayon 8.76e-11)
[2, 11, 13] : -1.246901  (rayon 3.40e-11)
[2, 11, 17] : -1.163927  (rayon 6.93e-11)
[2, 11, 19] : -1.060393  (rayon 5.39e-11)
[2, 13, 17] : -1.322986  (rayon 7.89e-11)
[2, 13, 19] : -1.197717  (rayon 7.75e-11)
[2, 17, 19] : -1.451580  (rayon 1.12e-10)
[3, 5, 7] : -0.904052  (rayon 9.38e-11)
[3, 5, 11] : -0.954456  (rayon 9.04e-11)
[3, 5, 13] : -1.089375  (rayon 7.90e-11)
[3, 5, 17] : -1.224620  (rayon 1.18e-10)
[3, 5, 19] : -1.105408  (rayon 1.01e-10)
[3, 7, 11] : -1.252368  (rayon 5.76e-11)
[3, 7, 13] : -1.113731  (rayon 4.15e-11)
[3, 7, 17] : -1.363406  (rayon 4.11e-11)
[3, 7, 19] : -1.380787  (rayon 5.41e-11)
[3, 11, 13] : -1.485474  (rayon 4.18e-11)
[3, 11, 17] : -1.284905  (rayon 3.07e-11)
[3, 11, 19] : -1.293602  (rayon 4.52e-11)
[3, 13, 17] : -1.230967  (rayon 4.87e-11)
[3, 13, 19] : -1.176384  (rayon 3.87e-11)
[3, 17, 19] : -1.139607  (rayon 1.22e-10)
[5, 7, 11] : -1.216634  (rayon 3.50e-11)
[5, 7, 13] : -1.216784  (rayon 3.50e-11)
[5, 7, 17] : -1.374327  (rayon 4.67e-11)
[5, 7, 19] : -1.374656  (rayon 5.68e-11)
[5, 11, 13] : -1.164398  (rayon 5.01e-11)
[5, 11, 17] : -0.946840  (rayon 3.04e-11)
[5, 11, 19] : -0.937648  (rayon 2.71e-11)
[5, 13, 17] : -1.222154  (rayon 5.87e-11)
[5, 13, 19] : -1.130132  (rayon 5.04e-11)
[5, 17, 19] : -1.331057  (rayon 7.07e-11)
[7, 11, 13] : -1.507924  (rayon 2.72e-11)
[7, 11, 17] : -1.356598  (rayon 2.78e-11)
[7, 11, 19] : -1.323716  (rayon 2.29e-11)
[7, 13, 17] : -1.310287  (rayon 3.10e-11)
[7, 13, 19] : -1.257067  (rayon 2.60e-11)
[7, 17, 19] : -1.161959  (rayon 5.66e-11)
[11, 13, 17] : -1.764758  (rayon 3.35e-11)
[11, 13, 19] : -1.673780  (rayon 3.00e-11)
[11, 17, 19] : -1.543553  (rayon 4.23e-11)
[13, 17, 19] : -1.629617  (rayon 4.19e-11)
[2, 3, 5, 7] : -0.652609  (rayon 1.75e-10)
[2, 3, 5, 11] : -0.869703  (rayon 1.10e-10)
[2, 3, 5, 13] : -0.759506  (rayon 2.95e-10)
[2, 3, 5, 17] : -1.065000  (rayon 1.48e-10)
[2, 3, 5, 19] : -0.969837  (rayon 2.04e-10)
[2, 3, 7, 11] : -0.827906  (rayon 1.21e-10)
[2, 3, 7, 13] : -0.997991  (rayon 9.80e-11)
[2, 3, 7, 17] : -1.249919  (rayon 9.64e-11)
[2, 3, 7, 19] : -1.191834  (rayon 1.03e-10)
[2, 3, 11, 13] : -1.027641  (rayon 4.55e-11)
[2, 3, 11, 17] : -1.098056  (rayon 1.40e-10)
[2, 3, 11, 19] : -0.992638  (rayon 1.26e-10)
[2, 3, 13, 17] : -1.141598  (rayon 1.86e-10)
[2, 3, 13, 19] : -1.127139  (rayon 2.20e-10)
[2, 3, 17, 19] : -1.268155  (rayon 1.83e-10)
[2, 5, 7, 11] : -0.831491  (rayon 7.87e-11)
[2, 5, 7, 13] : -0.883715  (rayon 9.76e-11)
[2, 5, 7, 17] : -1.183185  (rayon 1.12e-10)
[2, 5, 7, 19] : -1.133346  (rayon 1.28e-10)
[2, 5, 11, 13] : -1.160256  (rayon 5.68e-11)
[2, 5, 11, 17] : -1.241061  (rayon 5.54e-11)
[2, 5, 11, 19] : -1.287390  (rayon 5.67e-11)
[2, 5, 13, 17] : -0.979191  (rayon 8.65e-11)
[2, 5, 13, 19] : -1.003349  (rayon 1.48e-10)
[2, 5, 17, 19] : -1.410974  (rayon 1.21e-10)
[2, 7, 11, 13] : -1.237193  (rayon 5.88e-11)
[2, 7, 11, 17] : -1.095845  (rayon 8.01e-11)
[2, 7, 11, 19] : -1.029601  (rayon 5.19e-11)
[2, 7, 13, 17] : -1.448350  (rayon 8.87e-11)
[2, 7, 13, 19] : -1.371547  (rayon 6.95e-11)
[2, 7, 17, 19] : -1.519881  (rayon 1.12e-10)
[2, 11, 13, 17] : -1.403615  (rayon 3.83e-11)
[2, 11, 13, 19] : -1.304085  (rayon 3.55e-11)
[2, 11, 17, 19] : -1.313452  (rayon 8.53e-11)
[2, 13, 17, 19] : -1.464289  (rayon 8.90e-11)
[3, 5, 7, 11] : -0.882569  (rayon 2.75e-10)
[3, 5, 7, 13] : -0.854366  (rayon 1.33e-10)
[3, 5, 7, 17] : -1.077234  (rayon 8.94e-11)
[3, 5, 7, 19] : -1.035440  (rayon 1.54e-10)
